Identificador,Sexo,Grupo,Grado,Grado_num,Grado_num2,Trabaja,No_trabaja,Ocupacion,Ocupacion_otro,Personas_hogar,Ing_hogar,Municipio,Clave_mun,prob_Contaminacion,prob_Convivencia,prob_Corrupcion,prob_Desarrollo_urbano,prob_Desastres.naturales,prob_Desigualdad,prob_Deuda_publica,prob_Economia,prob_Educacion,prob_Empleo,prob_Imparticion_justicia,prob_Participacion_ciudadana,prob_Pobreza,prob_Salud,prob_Seguridad_publica,prob_Servicios_publicos,prob_Transparencia,prob_Transporte,prob_Vivienda,prob_Ninguno,prob_Otro,Sat_luz,Sat_gas,Sat_agua,Sat_policia,Sat_trans_pub,Sat_estacionamiento,Sat_basura,Sat_internet,Sat_mercados,Informacion,Informacion_otro,Interes_politica,Iden_presidente,Iden_diploc,Iden_dipfed,Voto18,No_voto18,No_voto18_otro,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PP12M_1,PP12M_2,PP12M_3,PP12M_4,PP12M_5,PP12M_6,PP12M_7,Manif_1,Manif_2,Manif_3,Manif_4,SentirPP_1,SentirPP_2,SentirPP_3,SentirPP_4,SentirPP_5,SentirPP_6,Iden_Plebiscito,Iden_Referendum,Iden_Ratificacion_Constitucional,Iden_Iniciativa_Ciudadana,Iden_Ratificacion_Mandato,Iden_Revocacion_Mandato,Iden_Consulta_Popular,Iden_Presupuesto_Participativo,Iden_Comparecencia_Publica,Iden_Proyecto_Social,Iden_Asamblea_Popular,Iden_Ayuntamiento_Abierto,Iden_Colaboracion_Popular,Iden_Planeacion_Participativa,Iden_Dialogo_Colaborativo,Iden_Contraloria_Social,Part_Plebiscito,Part_Referendum,Part_Ratificacion_Constitucional,Part_Iniciativa_Ciudadana,Part_Ratificacion_Mandato,Part_Revocacion_Mandato,Part_Consulta_Popular,Part_Presupuesto_Participativo,Part_Comparecencia_Publica,Part_Proyecto_Social,Part_Asamblea_Popular,Part_Ayuntamiento_Abierto,Part_Colaboracion_Popular,Part_Planeacion_Participativa,Part_Dialogo_Colaborativo,Part_Contraloria_Social,Opinion_cuenta,ID_gob,wf2
117,2,2,5,6,,2,2,,,1,4,San Gabriel,113,,,,,1,,,,,,,,,1,,,,,1,,,2,1,2,2,2,2,2,3,3,4,,1,1,1,1,1,,,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,,,,,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,227,77
118,2,1,6,2,,1,,1,,4,5,Tonila,103,,,,,,,1,,,,,,1,,,,,,,,,2,2,3,3,2,2,2,3,3,4,,1,1,1,1,1,,,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,,,,,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,228,1797
119,1,3,6,2,,1,,7,Jubilado y participó en la asociación vecinal ,3,7,Tlajomulco de Zúñiga,97,,,,1,1,,,,,,,,,,1,,,,,,,2,1,2,1,3,3,2,2,3,3,,2,1,1,1,1,,,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,,,,,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,231,639
120,1,2,5,4,,1,,1,,6,4,Zapotlán el Grande,23,,,,1,,,,,,,,1,,,,,,1,,,,2,2,3,2,3,3,3,4,3,4,,1,1,1,1,1,,,1,2,3,2,3,3,3,3,2,2,2,1,1,1,2,,,,,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,2,1,2,2,1,1,1,1,1,,1,1,1,2,2,232,4032
121,2,1,5,4,,1,,1,,3,2,Amacueca,4,,,,,,,,1,,1,,,,,,,,,1,,,3,4,3,2,6,5,2,3,2,3,,2,1,1,1,1,,,1,2,2,1,5,5,2,2,1,2,2,2,2,2,2,,,,,2,2,2,1,3,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,233,2418
122,1,2,6,6,,1,,5,,4,2,Zapotlán del Rey,123,,,1,,,,1,,1,,,,,,,,,,,,,2,2,2,2,3,5,2,2,2,1,,3,1,1,1,1,,,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,235,3121
123,1,1,6,6,,1,,4,,4,5,Zapotlán el Grande,23,,,1,,,,,,,,1,,,,,,1,,,,,2,2,2,2,3,3,3,2,3,1,,2,1,2,2,1,,,2,2,4,4,3,3,3,2,1,2,1,1,2,1,2,,,,,4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,236,1744
124,2,3,5,4,,1,,5,,3,7,Tecalitlán,87,,,,,,,,1,,1,,,,1,,,,,,,,2,2,2,3,5,5,2,3,3,1,,2,1,1,1,1,,,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,,,,,2,4,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,239,658
125,1,1,5,6,,1,,1,,5,4,Lagos de Moreno,53,,,,1,,,1,,,1,,,,,,,,,,,,2,3,2,2,3,4,2,3,3,1,,2,1,1,3,1,,,1,2,2,2,2,1,1,3,2,2,1,1,2,2,2,,,,,1,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,2,2,1,1,2,1,2,2,1,2,1,1,1,240,3031
126,2,2,6,4,,1,,1,,5,2,Tecalitlán,87,,,,1,,,,1,,,,,,,,,,1,,,,2,2,2,2,4,4,2,3,4,4,,2,1,1,1,1,,,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,,,,,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,243,4278
127,2,1,5,6,,1,,5,,2,3,Tecalitlán,87,,,,,,,,1,,1,,,1,,,,,,,,,2,2,1,3,2,5,1,2,2,4,,1,1,1,1,1,,,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,,,,,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,244,1121
128,1,1,5,6,,1,,1,,3,3,Cocula,24,,,,,,,,,,,,,1,,1,,,,1,,,1,2,3,4,2,2,1,4,2,4,,1,1,2,2,1,,,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,,,,,1,1,2,2,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,2,2,1,2,2,1,2,,2,1,2,1,2,2,,2,247,1446
129,2,1,6,1,,1,,5,,7,4,Zapotiltic,121,,,,,,,,,,,1,,,1,1,,,,,,,2,2,3,4,4,4,3,4,3,4,,1,1,1,1,1,,,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,249,5528
130,1,1,5,5,,1,,1,,3,2,Tecalitlán,87,,,,,,,,,,1,,,,,,,,,,,,3,2,2,1,3,4,2,3,3,1,,1,1,1,1,1,,,2,2,3,2,2,2,1,1,2,2,2,1,1,2,2,,,,,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,1,250,2347
131,1,1,6,3,,1,,1,,7,6,Tecalitlán,87,,,,,,,,,,1,,,1,,,,,,1,,,2,2,1,3,4,4,1,4,4,4,,1,1,1,1,1,,,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,,,,,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,251,2942
132,2,1,5,4,,1,,5,,4,3,Tuxpan,108,,,,,,,,1,,1,,,1,,,,,,,,,2,2,3,4,2,3,3,4,3,4,,3,1,1,1,1,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,254,1980
133,1,2,5,4,,1,,5,,6,4,Casimiro Castillo,21,,,,,,,,,,,,1,,,1,,,,1,,,1,1,1,3,3,4,2,3,2,3,,1,1,1,1,1,,,1,3,4,2,3,4,1,3,1,1,2,1,3,1,2,,,,,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,255,4032
134,1,1,5,4,,1,,1,,5,3,Tlajomulco de Zúñiga,97,,,,1,,,,,1,,,,1,,,,,,,,,2,2,3,3,4,2,4,3,4,1,,1,1,1,1,1,,,2,2,3,2,3,3,2,3,1,2,1,1,2,1,2,,,,,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,,1,1,2,1,1,2,1,1,,,2,2,2,3,256,2555
135,1,2,5,3,,1,,4,,4,5,Tecalitlán,87,,,,,,,,,,,,,,,,,,,1,,,2,2,2,3,3,4,2,3,3,2,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,,,,,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,257,1744
136,1,1,5,5,,1,,4,,2,3,Zapotlán el Grande,23,,,,,,,,,,,1,,,1,1,,,,,,,1,1,1,4,5,3,1,1,1,1,,1,1,2,1,1,,,1,1,1,1,3,1,1,3,2,2,1,1,1,1,2,,,,,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,3,2,,1,1,2,2,260,1088
137,1,1,6,2,,1,,4,,2,3,Zapotlán el Grande,23,,,,,,,,,,,,,,,1,,1,,1,,,1,1,1,4,6,3,2,2,2,4,,1,1,1,3,1,,,1,1,3,5,1,5,5,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,261,1088
138,2,1,5,3,,1,,3,,5,3,Cocula,24,,,,,,1,1,,1,,,,,,,,,,,,,3,3,4,4,3,3,2,4,3,1,,4,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,2633
139,1,2,5,4,,1,,4,,4,4,Zapotlán el Grande,23,,,,,,,,1,,1,,,,,1,,,,,,,2,2,2,3,2,3,3,3,3,3,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,,,,,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,265,2280
140,2,1,5,4,,2,2,,,4,5,Guadalajara,39,,,,,,,,,,,,,1,1,1,,,,,,,1,1,3,3,2,3,2,1,1,1,,1,1,1,1,1,,,1,1,3,2,3,3,1,3,2,1,2,1,2,1,1,,,3,,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,266,133
141,1,3,6,2,,1,,7,Pensionado,2,7,Zapotlán el Grande,23,,,,,,1,,,,1,,,1,,,,,,,,,2,2,2,2,2,3,2,2,2,4,,2,1,1,1,1,,,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,,,,,,,1,1,,,,,,,,,1,267,482
142,2,1,6,4,,1,,4,,5,7,Zapotlán el Grande,23,,,1,,,,1,,,,,,,,,,1,,,,,3,2,3,3,3,4,4,2,2,4,,1,1,1,1,1,,,2,3,2,3,3,3,2,3,1,2,1,1,2,1,2,,,,,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,,2,1,2,3,268,1160
143,1,1,6,3,,1,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,9692
144,2,1,5,3,,1,,1,,2,3,Guadalajara,39,,,,1,,,,,1,,,,,,1,,,,,,,2,1,1,3,1,1,1,1,1,4,,2,2,2,2,1,,,3,2,2,2,2,2,2,2,1,2,2,1,2,2,1,,,3,,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,,1,2,1,2,2,1,1,2,1,271,1121
145,2,2,5,4,,1,,5,,2,1,Tecalitlán,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,3207
146,1,1,5,3,,2,2,,,3,2,Zapotlán el Grande,23,,,1,,,,,,,,,,,1,,1,,,,,,2,2,2,3,3,3,1,3,3,3,,2,1,1,1,1,,,3,2,2,2,2,2,2,4,1,1,2,2,1,1,2,,,,,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,276,172
147,1,1,5,4,,1,,1,,3,5,Zapotlán el Grande,23,,,,,,,,,1,,1,,,,1,,,,,,,3,1,3,4,3,3,2,4,3,4,,2,1,2,2,1,,,2,2,3,2,3,3,2,2,2,2,2,1,2,2,2,,,,,1,1,3,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,,2,2,2,2,2,2,2,,2,2,,2,,,2,2,277,1312
148,2,1,5,4,,1,,1,,2,5,Zapopan,120,1,,,1,,,,,,,,,,,1,,,,,,,2,2,2,3,3,6,2,2,3,3,,2,1,2,1,1,,,1,1,2,2,2,1,1,4,1,2,2,2,2,2,1,,,3,,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,,1,2,1,1,2,1,2,2,2,2,,2,,2,1,278,1018
149,1,1,5,4,,1,,1,,4,3,Zapotlán del Rey,123,,,,1,,,,,,1,,,,,,1,,,,,,2,2,2,2,3,2,2,4,5,4,,2,1,1,1,1,,,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,1,280,1922
150,2,1,5,4,,1,,1,,5,6,Zapopan,120,,,,,,,,,,1,,,,,1,1,,,,,,2,2,2,3,6,3,2,3,3,4,,3,2,2,2,1,,,2,2,5,1,5,5,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,,,,2,,,1,,,,,,,,,,2,281,1715
151,1,2,5,3,,2,6,,,4,4,Tonalá,101,1,,,,,,,,,1,,,,,1,,,,,,,2,2,3,4,2,3,2,3,3,4,,3,2,2,2,2,6,,2,2,3,2,3,3,2,3,1,2,1,1,2,2,2,,,,,1,1,2,2,3,3,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,,2,1,1,,,,,,2,285,7353
152,1,1,5,5,,1,,1,,2,2,Zapotlán el Grande,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,1765
153,2,1,5,4,,2,2,,,4,2,Tototlán,105,,,,,,,,,,,,,,,1,,,,,,,2,2,4,4,3,4,2,1,3,4,,1,1,1,1,1,,,3,1,1,1,4,4,2,3,1,1,1,1,1,1,1,,,3,,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,287,232
154,1,1,5,3,,1,,1,,5,4,Tototlán,105,,,,,,,,,1,1,,,,,1,,,,,,,2,2,2,3,3,3,2,2,2,3,,1,1,1,1,1,,,2,2,2,2,2,2,2,3,1,1,2,1,1,1,2,,,,,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,288,3031
155,1,1,5,5,,1,,1,,5,3,Zapotlán el Grande,23,,,,,,,,,,,,,1,1,1,,,,,,,3,3,3,3,3,3,3,3,3,4,,1,1,2,2,1,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,,2,,2,1,,,2,2,,2,,,,2,289,2555
156,2,1,6,6,,1,,1,,3,5,Tuxpan,108,,,,,,,,,,,,,,,,1,,,,,,4,2,4,2,2,3,4,4,2,4,,2,1,1,1,1,,,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,,,,,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,293,1352
157,1,1,5,3,,1,,1,,2,4,Pihuamo,65,,,,,,,,1,,,,,,,,,,,,,,1,1,2,2,1,5,1,4,1,4,,2,1,1,1,1,,,2,2,1,1,2,3,1,1,1,2,2,2,1,1,2,,,,,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,,2,2,1,1,294,1290
158,1,1,5,5,,1,,5,,1,5,Tuxpan,108,,,1,,,,,,,,,,,,1,1,,,,,,3,1,3,4,3,4,4,2,4,4,,2,1,1,1,1,,,3,3,4,3,4,3,2,4,1,2,1,1,1,1,2,,,,,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,295,744
159,1,3,5,5,,2,2,,,4,2,Guadalajara,39,,,1,,,,,,,1,,,,,1,,,,,,,2,2,3,4,4,3,2,2,2,2,,1,1,1,1,1,,,1,1,2,1,2,2,2,1,1,2,2,1,2,1,2,,,,,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,305,226
160,1,4,5,3,,1,,6,,6,4,Amacueca,4,1,,,,,,,1,1,,,,,,,,,,,,,2,2,2,3,2,2,3,2,4,1,,2,1,2,2,1,,,1,2,2,1,1,2,1,3,1,2,2,1,1,1,2,,,,,2,2,3,2,3,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,,1,,,1,2,2,1,1,1,1,1,1,2,1,307,4032
161,1,2,5,3,,1,,4,,1,2,Jilotlán de los Dolores,49,,,,,,,,,,,,,1,,1,1,,,,,,2,2,3,5,5,2,3,3,5,5,,1,1,1,1,1,,,2,3,3,2,3,2,1,2,1,2,2,1,2,2,2,,,,,1,1,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1,2,2,2,2,2,2,2,,1,1,1,1,1,1,,1,2,309,1328
162,2,1,5,5,,1,,1,,2,2,La Manzanilla de la Paz,57,,,,,,1,,1,,1,,,,,,,,,,,,2,2,2,2,6,6,2,2,2,3,,2,1,1,1,1,,,1,1,2,1,2,2,1,4,1,1,2,1,1,2,2,,,,,2,2,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,3,310,1819
163,1,1,6,2,,1,,4,,3,5,Zapopan,120,1,,1,,,,,,,,,,,,1,,,,,,,2,2,2,3,3,5,3,2,3,4,,1,1,1,1,1,,,1,1,2,2,2,2,2,3,2,2,1,1,2,1,2,,,,,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2,,,2,2,2,2,311,1312
164,1,1,5,4,,1,,1,,3,7,Guadalajara,39,,,,,,,,,,,1,,,,1,,,1,,,,2,2,3,3,3,2,3,2,3,4,,1,1,2,2,1,,,1,1,1,1,1,1,1,3,2,2,2,1,2,2,2,,,,,3,1,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,312,639
165,1,1,5,5,,2,2,,,3,3,Acatic,1,,,,,,1,,,,,,,1,,1,,,,,,,1,3,,2,3,,3,2,5,4,,3,2,2,2,1,,,4,3,4,4,3,4,3,4,2,2,2,2,2,2,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,314,108
166,1,2,6,2,,2,2,,,4,7,El Salto,70,,,,,,,,,,,,,,,1,,,,,,,3,3,3,4,4,5,3,4,3,3,,1,1,1,1,1,,,2,2,2,3,3,3,2,4,1,2,1,2,1,2,2,,,,,2,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,1,2,2,315,67
167,1,1,6,2,,1,,4,,6,6,Tlaquepaque,98,,,1,,,1,,,,,,,,,1,,,,,,,2,2,2,4,,2,2,2,2,3,,1,1,1,1,1,,,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,,,3,,3,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,2,1,2,1,316,2212
168,2,2,6,2,,1,,1,,2,7,Guadalajara,39,1,,,1,,,,,,,,,,,1,,,,,,,2,1,2,3,2,3,2,2,2,1,,2,1,1,1,1,,,1,1,2,1,2,2,1,3,2,1,2,1,2,1,1,,,3,,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,,,2,1,,2,317,497
169,1,1,6,3,,1,,1,,2,3,Guadalajara,39,,,,,,,,1,1,,,,,,,,,1,,,,2,2,2,4,2,3,2,2,2,4,,1,1,1,1,1,,,1,2,3,2,3,4,2,4,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,318,1088
170,1,1,6,3,,1,,1,,2,8,Tlaquepaque,98,,,1,,,,,,,,,,,,1,,,1,,,,2,1,1,2,3,3,2,3,2,3,,2,1,1,2,1,,,1,1,2,1,1,1,1,3,1,2,2,1,1,1,2,,,,,2,1,2,1,3,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,,2,,1,2,2,1,2,2,,2,,,2,2,,3,319,1897
171,2,2,6,2,,1,,5,,4,4,Guadalajara,39,,,,,,,,1,1,,,,,,1,,,,,,,2,2,2,3,3,2,2,3,2,3,,1,1,2,2,1,,,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,,,3,,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,,2,,1,2,1,1,2,1,1,1,1,1,321,2349
172,1,1,6,2,,1,,1,,4,7,Guadalajara,39,,,,1,,1,,,,,,,,,,1,,,,,,2,1,4,2,2,2,2,3,2,4,,1,1,1,1,1,,,1,1,2,1,1,2,2,4,2,2,1,1,2,1,2,,,,,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,322,848
173,2,1,6,2,,1,,1,,3,5,Sayula,82,1,,1,,,,,,,,,,,,,1,,,,,,2,1,4,4,3,3,3,3,2,4,,2,1,2,2,1,,,1,1,3,2,3,3,2,3,2,2,1,1,2,2,1,,,3,,1,1,3,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,328,1352
174,2,1,5,3,,2,2,,,2,2,Sayula,82,,,,,,,1,,,,,,,,1,1,,,,,,2,2,3,4,4,4,4,3,3,1,,1,1,1,1,1,,,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,,,,,2,2,2,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,329,135
175,1,1,5,4,,1,,4,,4,2,Sayula,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,3121
176,2,1,5,2,,1,,1,,4,2,Sayula,82,,,,,,1,,,,,,,,,1,,,,,,,2,2,2,3,2,2,2,3,2,4,,1,1,1,1,1,,,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,,1,2,2,2,1,2,1,331,3216
177,2,2,6,2,,1,,1,,2,8,Sayula,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,1955
178,1,1,5,4,,1,,4,,4,5,Sayula,82,,,1,,,,,,,,,,,,1,1,,,,,,2,2,3,4,2,4,2,2,2,3,,2,1,2,2,1,,,1,3,4,3,4,4,5,3,1,2,2,1,1,1,2,,,,,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,,2,333,1744
179,1,1,6,2,,2,2,,,4,4,Sayula,82,,,,,,,,,,,,1,,,1,,1,,,,,2,2,2,4,3,3,2,3,2,4,,1,1,1,1,1,,,2,4,4,2,4,4,3,2,2,1,2,1,1,2,2,,,,,2,2,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,334,167
180,1,1,6,3,,2,2,,,4,7,Guadalajara,39,1,,,1,,,,,,,,,,,,1,,,,,,1,5,2,4,3,6,3,2,3,4,,2,1,2,2,1,,,2,2,4,2,3,3,2,3,1,2,2,2,2,1,2,,,,,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,,,,,,,,,,2,336,67
181,2,1,6,2,,1,,1,,2,4,Tonalá,101,,,,1,,,,,,,,,,,1,,,1,,,,4,2,2,4,4,3,5,2,5,4,,3,1,2,2,1,,,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,,,,,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,337,1330
182,1,1,5,4,,1,,1,,3,3,Sayula,82,1,,,,,,,,,,,,,,1,,1,,,,,3,3,3,4,4,4,4,2,1,1,,2,1,1,1,1,,,1,4,3,2,3,3,2,3,1,1,1,1,1,1,1,,,3,,2,1,3,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,2,,1,1,1,1,1,2,1,1,1,1,2,340,1446
